RNUM,MEDIATITLE,PLACENAME,ADDRESS
12429,질투의 화신,대천해수욕장,충청남도 보령시 머드로 123
12430,질투의 화신,군헌갯벌체험학습장,충청남도 보령시 해안로 607-5
12441,찬란한 유산,묵호등대전망대,강원도 동해시 해맞이길 289
12462,천국의 계단,경강역 (폐역),강원도 춘천시 남산면 서백길 62-52
12471,천원짜리 변호사,도롱이연못,강원도 정선군 사북읍 사북리 도롱이연못
12489,철인왕후,문경새재촬영장 (오픈세트장),경상북도 문경시 문경읍 새재로 1037
12490,철인왕후,병산서원,경상북도 안동시 풍천면 병산길 386
12493,철인왕후,궁남지,충청남도 부여군 부여읍 궁남로 52
12495,첫사랑은 처음이라서,오죽헌 경내,강원도 강릉시 율곡로3139번길 24
12496,첫사랑은 처음이라서,소토보체,강원도 홍천군 화촌면 군업안말길 153-15
12533,첫사랑은 처음이라서,전주고속버스터미널,전라북도 전주시 덕진구 가리내로 70
12534,첫사랑은 처음이라서,전주전동성당,전라북도 전주시 완산구 태조로 51
12535,첫사랑은 처음이라서,향교길,전라북도 전주시 완산구 향교길 105
12549,청춘기록,문경새재촬영장 (오픈세트장),경상북도 문경시 문경읍 새재로 1037
12580,청춘기록,광한루원,전라북도 남원시 요천로 1447
12624,초면에 사랑합니다,유리트리트,강원도 홍천군 서면 한서로 1468-55
12651,초콜릿,인터컨티넨탈 알펜시아 평창 리조트,강원도 평창군 대관령면 솔봉로 325
12654,초콜릿,계명대학교 성서캠퍼스,대구광역시 달서구 달구벌대로 1095
12657,초콜릿,정도리구계등,전라남도 완도군 완도읍 정도리 152
12658,초콜릿,대천해수욕장,충청남도 보령시 머드로 123
12663,최강 배달꾼,거진해수욕장,강원도 고성군 거진읍 거진리 22-59
12664,최강 배달꾼,거탄진로209번길,강원도 고성군 거진읍 거탄진로209번길 5-4
12688,최강 배달꾼,익산 교도소 세트장,전라북도 익산시 성당면 함낭로 207
12726,추노,사성암,전라남도 구례군 문척면 사성암길 303
12727,추노,광한루원,전라북도 남원시 요천로 1447
12735,추리의 여왕,안도르,대전광역시 중구 선화로 148
12736,추리의 여왕,대전근현대사전시관,대전광역시 중구 중앙로 101
12796,친애하는 판사님께,유리트리트,강원도 홍천군 서면 한서로 1468-55
12801,친애하는 판사님께,장흥교도소 세트장,전라남도 장흥군 장흥읍 원도리 191
12802,친애하는 판사님께,대둔산 금강구름다리,전라북도 완주군 운주면 산북리
12836,컬러 러쉬,경주세계문화엑스포공원,경상북도 경주시 경감로 614
12838,쾌걸 춘향,광한루원,전라북도 남원시 요천로 1447
12843,크레이지 러브,강릉역,강원도 강릉시 용지로 176
12844,크레이지 러브,오크밸리 리조트,강원도 원주시 지정면 오크밸리1길 66
12863,크레이지 러브,호서대학교 아산캠퍼스,충청남도 아산시 배방읍 호서로79번길 20
12866,크로스,미즈제일여성병원,대전광역시 유성구 계룡로 126
12875,크로스,장흥교도소 세트장,전라남도 장흥군 장흥읍 원도리 191
12918,"킬미, 힐미",등명해변,강원도 강릉시 강동면 정동진리 440-7
