mediatitle,place_name,address,positive_ratio,latitude,longitude
나빌레라,합천 영상 테마파크,경상남도 합천군 용주면 합천호수로 757,0.75,35.5489346,128.072475
내게 거짓말을 해봐,베어트리파크,세종특별자치시 전동면 신송로 217,0.25,36.670592,127.209267
어느 날 우리 집 현관으로 멸망이 들어왔다,경주월드,경상북도 경주시 보문로 544,0.9444444444444444,35.835594,129.282884
어느 날 우리 집 현관으로 멸망이 들어왔다,외돌개,제주특별자치도 서귀포시 서홍동 791,1.0,33.239982,126.545446
어느 날 우리 집 현관으로 멸망이 들어왔다,한담해안산책로,제주특별자치도 제주시 애월읍 곽지리 1359,0.7142857142857143,33.45463,126.3074
공작도시,뮤지엄 산,강원도 원주시 지정면 오크밸리2길 260,0.7647058823529411,37.418903,127.82302
여름 향기,명봉역,전라남도 보성군 노동면 예재로 384,0.5,34.827785,127.075526
여신강림,설리스카이워크,경상남도 남해군 미조면 송정리 산352-4,0.75,34.70878,128.0226
마이 걸,롯데호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 35,0.875,33.2483112,126.410594
역도요정 김복주,옥순봉,충청북도 제천시 수산면 옥순봉로 342,0.8,36.93968,128.2393
겨울연가,남이섬,강원도 춘천시 남산면 남이섬길 1,0.6666666666666666,37.789935,127.52581
연애의 발견,연화도 출렁다리,경상남도 통영시 욕지면 연화리 산2,0.6666666666666666,34.638922,128.371628
열두밤,정동진역,강원도 강릉시 강동면 정동역길 17,1.0,37.69142,129.0329
열혈사제,여수갯벌노을마을,전라남도 여수시 소라면 서부로 785-24 장척마을회관,0.8,34.790242,127.568009
미남이시네요,공세리성당,충청남도 아산시 인주면 공세리성당길 10,0.8888888888888888,36.883404,126.914041
군검사 도베르만,익산 교도소 세트장,전라북도 익산시 성당면 함낭로 207,0.8333333333333334,36.069334,126.93158
오 마이 레이디,월정사,강원도 평창군 진부면 오대산로 374-8,1.0,37.731807,128.592508
오 마이 레이디,월정사,강원도 평창군 진부면 오대산로 374-8,1.0,37.731807,128.592508
