drama,review
쌈 마이웨이,"유치한 부분도 유쾌하게 넘어갈 수 있다면, 배우도 연출도 각본도 잘 쓴 드라마라는 증거."
쌈 마이웨이,이 사람들 덕분에 여름이 즐거웠다.
쌍갑포차,웰메이드.
쌍갑포차,에피소드 형식이라니 기대중
아는 와이프,예상처럼 흘러가는 전개 방식 다 알 것만 같은 에피소드들
아랑사또전,갠적으로 ost가 너무 좋아서
아랑사또전,사극이 오글거리면 귀엽다.
아랑사또전,나..이거 봤다
아랑사또전,아... 괜히 봤다
아름다운 그대에게,유치하다. 인정하고 싶지 않지만 재밌었다.
아름다운 그대에게,오글거리는데 자꾸 보게된다 ㅋㅋㅋㅋㅋㅋ 하
아름다운 그대에게,토마 귀엽넹
아름다운 그대에게,내가 대단하다.
아름다운 그대에게,솔직히 재밌었다 ㅇㅈ?ㅇㅇㅈ~
아름다운 그대에게,옛날 재미있게 본 일드
아름다운 그대에게,유치하고 꿀잼
아름다웠던 우리에게,이 집 남주 얼굴 잘하네.
아름다웠던 우리에게,남자주인공 얼굴이 재밌다😆
아버님 제가 모실게요,잼잇어요~^^
아스달 연대기,기대됨 빌드업 했으니 포텐터지길
아스달 연대기,또 선물처럼 돌아오길 희망해봅니다
아스달 연대기,생각보다 괜찮아서 놀라운
아스달 연대기,나라는 이야기로 만들어지는 거야
아스달 연대기,재미있어요! 2023. 12. 11. ~ 2023. 12. 24.
아스달 연대기,재밌기만한데....
아이리스,.
아이리스,이거 본 사람은 ㄹㅇ 나뿐일걸?^^ 꽤 재미졌어유~
아이리스,^ㅗ^
아이언맨,당신의 이야기 잘들었어요!
아이템,"현대인들에게 가장 필요한, 내 이야기를 맘껏 들어줄 사람. 소통해주는 사람."
아이템,힐링무비
아이템,아이가 사자에게 웃는법을 가르치는것
아이템,불안감을 유대감으로 뒤바꾸는 매력적인 배우들의 집합.
아이템,가슴 따뜻해지는 힐링영화
아이템,마지막에 그가 한 고민에 공감한다.
아이템,누군가의 일상을 엿본 기분. 근데 엿본 일상이 아주 특별한 하루다. 지친 사람들에게 담담히 추천
아이템,유쾌하고 따뜻하다.. 행복한 10가지 생각해봐야지!
아이템,걍 편안하게 볼만한데 소소하게 웃김ㅋㅋㅋㅋㅋ
아이템,"살아가면서 가끔은 쉼표 하나, 그리고 자신감 한 스푼"
아홉수 소년,아직도 너무 좋다.
아홉수 소년,기대가 됩니다
아홉수 소년,ost의 즐거움
아홉수 소년,다 너무 좋았던.. 억지가 있어도 좋았던..
아홉수 소년,재밌쩌요
악마가 너의 이름을 부를 때,"좋은 노래, 좋은 배우, 다양한 감정"
악마가 너의 이름을 부를 때,ost가 너무 좋다
악마가 너의 이름을 부를 때,나레이션으로 설명하려는 드라마..
악의 마음을 읽는 자들,연기가 맛있다
악의 마음을 읽는 자들,실화라 그런지 몰입도가 미쳐버림
악의 마음을 읽는 자들,갈수록 오글오글…
알고있지만,"흐헿 상위포식자 어항에 들어가본 자, 이 드라마를 공감할 지어다"
알고있지만,묘하게 끌린단말야 ¯ࡇ¯
알고있지만,"자극적이지 않고, 미묘해서 좋았고 솔직해서 끌렸다."
알함브라 궁전의 추억,이게 그렇게 신선함...?
알함브라 궁전의 추억,제 기억도 리셋해주세요🤬
앨리스,이병헌의 손길이 닿은 것 같긴 한데.
앨리스,청불하길 잘했다.
앨리스,"찾았다,, 무릎반사 같은 드라마 ❤️"
앨리스,신박하게 웃기네. 왓챠가 가끔씩 잘하네 ㅋ
앨리스,케미는 좋은데
앨리스,하하하하하하하하하하하하너무재밌다
어게인 마이 라이프,갑자기 진행되서 끝난 기분이다ㅠ
어게인 마이 라이프,"아, 재미있었는데 분명히"
어게인 마이 라이프,진부하지만 재밌다.
어게인 마이 라이프,캐릭터나 내용전개가 유치하고 오글거리지만 계속 보게 되는 흡입력은 뛰어나다.
어게인 마이 라이프,"지나치게 얽히지 않고, 최대한 가볍게"
어느 날 우리 집 현관으로 멸망이 들어왔다,나는 재미있는데...
어느날,몰입도는 좋았지만 마무리가...
